,filename_left,filename_right
0,ATL04_20200415212836_03110701_006_02.h5,MOD06_L2.A2020112.1805.061.2020113073948.hdf
4511,ATL04_20200415102834_03040701_006_02.h5,MOD06_L2.A2020108.0815.061.2020108192853.hdf
5019,ATL04_20200421110315_03960701_006_02.h5,MOD06_L2.A2020111.1845.061.2020112074055.hdf
5522,ATL04_20200416113712_03200701_006_02.h5,MOD06_L2.A2020111.1840.061.2020112073428.hdf
6241,ATL04_20200419115433_03660701_006_02.h5,MOD06_L2.A2020108.0955.061.2020108192816.hdf
7167,ATL04_20200421123732_03970701_006_02.h5,MOD06_L2.A2020107.1050.061.2020107194145.hdf
7553,ATL04_20200416131129_03210701_006_02.h5,MOD06_L2.A2020112.1110.061.2020112193843.hdf
7879,ATL04_20200415133709_03060701_006_02.h5,MOD06_L2.A2020108.1135.061.2020108193045.hdf
8179,ATL04_20200418135429_03520701_006_02.h5,MOD06_L2.A2020106.1825.061.2020107073541.hdf
8319,ATL04_20200417142008_03370701_006_02.h5,MOD06_L2.A2020109.1215.061.2020110013241.hdf
8553,ATL04_20200416144547_03220701_006_02.h5,MOD06_L2.A2020112.1250.061.2020113014257.hdf
8613,ATL04_20200415151126_03070701_006_02.h5,MOD06_L2.A2020108.1810.061.2020109073031.hdf
8773,ATL04_20200419150308_03680701_006_02.h5,MOD06_L2.A2020108.1315.061.2020109013905.hdf
8909,ATL04_20200416210257_03260701_006_02.h5,MOD06_L2.A2020110.1800.061.2020111082449.hdf
9316,ATL04_20200421154607_03990701_006_02.h5,MOD06_L2.A2020112.1745.061.2020113013952.hdf
9504,ATL04_20200416162004_03230701_006_02.h5,MOD06_L2.A2020108.1450.061.2020109013100.hdf
9864,ATL04_20200415164544_03080701_006_02.h5,MOD06_L2.A2020111.1525.061.2020112013424.hdf
9929,ATL04_20200419163725_03690701_006_02.h5,MOD06_L2.A2020107.1725.061.2020108013501.hdf
9957,ATL04_20200417203718_03410701_006_02.h5,MOD06_L2.A2020111.1700.061.2020112013316.hdf
10054,ATL04_20200417172843_03390701_006_02.h5,MOD06_L2.A2020108.1630.061.2020109013011.hdf
10787,ATL04_20200420174603_03850701_006_02.h5,MOD06_L2.A2020106.1645.061.2020107013133.hdf
11306,ATL04_20200421220316_04030701_006_02.h5,MOD06_L2.A2020109.1715.061.2020110013637.hdf
11452,ATL04_20200415010250_02980701_006_02.h5,MOD06_L2.A2020109.2030.061.2020110072830.hdf
11508,ATL04_20200418012010_03440701_006_02.h5,MOD06_L2.A2020111.2020.061.2020112073607.hdf
11843,ATL04_20200417014548_03290701_006_02.h5,MOD06_L2.A2020110.2115.061.2020111081113.hdf
12324,ATL04_20200416021128_03140701_006_02.h5,MOD06_L2.A2020106.2000.061.2020107073638.hdf
12510,ATL04_20200415023707_02990701_006_02.h5,MOD06_L2.A2020112.2240.061.2020113073108.hdf
12870,ATL04_20200418025427_03450701_006_02.h5,MOD06_L2.A2020110.1935.061.2020111080506.hdf
13149,ATL04_20200417032006_03300701_006_02.h5,MOD06_L2.A2020108.0005.061.2020108133401.hdf
13770,ATL04_20200419040306_03610701_006_02.h5,MOD06_L2.A2020107.0100.061.2020107133816.hdf
14017,ATL04_20200418042844_03460701_006_02.h5,MOD06_L2.A2020112.1925.061.2020113073521.hdf
14354,ATL04_20200421044605_03920701_006_02.h5,MOD06_L2.A2020106.0155.061.2020106132444.hdf
14658,ATL04_20200420051144_03770701_006_02.h5,MOD06_L2.A2020109.0225.061.2020109132239.hdf
16426,ATL04_20200419071141_03630701_006_02.h5,MOD06_L2.A2020112.0435.061.2020112134028.hdf
16732,ATL04_20200418073719_03480701_006_02.h5,MOD06_L2.A2020108.0500.061.2020108133118.hdf
21557,ATL04_20200417093716_03340701_006_02.h5,MOD06_L2.A2020110.0640.061.2020110193527.hdf
27826,ATL04_20200420095436_03800701_006_02.h5,MOD06_L2.A2020111.1955.061.2020112072714.hdf
36938,ATL04_20200416100255_03190701_006_02.h5,MOD06_L2.A2020107.0150.061.2020107132702.hdf
37645,ATL04_20200419084558_03640701_006_02.h5,MOD06_L2.A2020109.1445.061.2020110012650.hdf
40252,ATL04_20200418091137_03490701_006_02.h5,MOD06_L2.A2020108.1715.061.2020109013259.hdf
56540,ATL04_20200416065420_03170701_006_02.h5,MOD06_L2.A2020110.0445.061.2020110133055.hdf
56707,ATL04_20200415071959_03020701_006_02.h5,MOD06_L2.A2020106.0510.061.2020106132249.hdf
57148,ATL04_20200417080258_03330701_006_02.h5,MOD06_L2.A2020112.0610.061.2020112193457.hdf
57359,ATL04_20200416082837_03180701_006_02.h5,MOD06_L2.A2020110.0625.061.2020110193322.hdf
57396,ATL04_20200420082019_03790701_006_02.h5,MOD06_L2.A2020107.1230.061.2020108013944.hdf
59469,ATL04_20200418104554_03500701_006_02.h5,MOD06_L2.A2020112.0930.061.2020112193817.hdf
64415,ATL04_20200418183721_03550701_006_02.h5,MOD06_L2.A2020106.1325.061.2020107013733.hdf
65545,ATL04_20200420192021_03860701_006_02.h5,MOD06_L2.A2020107.1550.061.2020108013849.hdf
68679,ATL04_20200420222855_03880701_006_02.h5,MOD06_L2.A2020110.1300.061.2020111013722.hdf
69123,ATL04_20200418232014_03580701_006_02.h5,MOD06_L2.A2020109.2035.061.2020110072942.hdf
69486,ATL04_20200421233734_04040701_006_02.h5,MOD06_L2.A2020112.2105.061.2020113073613.hdf
69846,ATL04_20200421000313_03890701_006_02.h5,MOD06_L2.A2020108.2130.061.2020109073202.hdf
461315,ATL04_20200420161146_03840701_006_02.h5,MOD06_L2.A2020112.0530.061.2020112132755.hdf
3618318,ATL04_20201202152529_10610901_006_01.h5,MOD06_L2.A2020341.2315.061.2021268022116.hdf
3620413,ATL04_20201206151709_11220901_006_01.h5,MOD06_L2.A2020339.1455.061.2021268014014.hdf
3620660,ATL04_20201203070822_10710901_006_01.h5,MOD06_L2.A2020337.2325.061.2021268012408.hdf
3621657,ATL04_20201203084239_10720901_006_01.h5,MOD06_L2.A2020341.1805.061.2021268015438.hdf
3621870,ATL04_20201202090819_10570901_006_01.h5,MOD06_L2.A2020337.1825.061.2021268012300.hdf
3621924,ATL04_20201203145949_10760901_006_01.h5,MOD06_L2.A2020341.2300.061.2021268015634.hdf
3621989,ATL04_20201205092539_11030901_006_01.h5,MOD06_L2.A2020342.1845.061.2021268020425.hdf
3622347,ATL04_20201203101657_10730901_006_01.h5,MOD06_L2.A2020341.1940.061.2021268015549.hdf
3622477,ATL04_20201202104237_10580901_006_01.h5,MOD06_L2.A2020337.2005.061.2021268012336.hdf
3622898,ATL04_20201205105956_11040901_006_01.h5,MOD06_L2.A2020337.2145.061.2021268012500.hdf
3623425,ATL04_20201208111716_11500901_006_01.h5,MOD06_L2.A2020341.2120.061.2021268015633.hdf
3624098,ATL04_20201202121654_10590901_006_01.h5,MOD06_L2.A2020342.2205.061.2021268020612.hdf
3624126,ATL04_20201202183403_10630901_006_01.h5,MOD06_L2.A2020339.0145.061.2021268013259.hdf
3624151,ATL04_20201204191702_10940901_006_01.h5,MOD06_L2.A2020341.0135.061.2021268015136.hdf
3624314,ATL04_20201203194241_10790901_006_01.h5,MOD06_L2.A2020340.0230.061.2021268014206.hdf
