,filename_left,filename_right
0,ATL04_20190115230926_02830201_006_02.h5,MOD06_L2.A2019016.2155.061.2019017074619.hdf
3290,ATL04_20190115120925_02760201_006_02.h5,MOD06_L2.A2019019.1205.061.2019020014247.hdf
3729,ATL04_20190118122644_03220201_006_02.h5,MOD06_L2.A2019015.1235.061.2019016013525.hdf
4091,ATL04_20190119230109_03440201_006_02.h5,MOD06_L2.A2019021.1335.061.2019022013010.hdf
4358,ATL04_20190118140102_03230201_006_02.h5,MOD06_L2.A2019015.1415.061.2019016013534.hdf
4532,ATL04_20190117142639_03080201_006_02.h5,MOD06_L2.A2019020.1430.061.2019021012314.hdf
4679,ATL04_20190121141827_03690201_006_02.h5,MOD06_L2.A2019018.1445.061.2019019012614.hdf
4867,ATL04_20190116145218_02930201_006_02.h5,MOD06_L2.A2019016.1455.061.2019017013645.hdf
5061,ATL04_20190115151759_02780201_006_02.h5,MOD06_L2.A2019019.1530.061.2019020014233.hdf
5365,ATL04_20190117160057_03090201_006_02.h5,MOD06_L2.A2019020.1610.061.2019021012255.hdf
5434,ATL04_20190121155245_03700201_006_02.h5,MOD06_L2.A2019017.2220.061.2019018071626.hdf
5684,ATL04_20190116162636_02940201_006_02.h5,MOD06_L2.A2019016.1635.061.2019017013550.hdf
5920,ATL04_20190115165217_02790201_006_02.h5,MOD06_L2.A2019019.1705.061.2019020014715.hdf
6014,ATL04_20190119164359_03400201_006_02.h5,MOD06_L2.A2019017.1720.061.2019018014000.hdf
6100,ATL04_20190116224345_02980201_006_02.h5,MOD06_L2.A2019021.2155.061.2019022073613.hdf
6225,ATL04_20190117173514_03100201_006_02.h5,MOD06_L2.A2019018.1805.061.2019019160329.hdf
6547,ATL04_20190116180053_02950201_006_02.h5,MOD06_L2.A2019019.1845.061.2019020073349.hdf
6874,ATL04_20190115182634_02800201_006_02.h5,MOD06_L2.A2019015.1910.061.2019016072750.hdf
7031,ATL04_20190117221807_03130201_006_02.h5,MOD06_L2.A2019018.1940.061.2019019160359.hdf
7212,ATL04_20190117190932_03110201_006_02.h5,MOD06_L2.A2019017.2040.061.2019018071625.hdf
7743,ATL04_20190116193511_02960201_006_02.h5,MOD06_L2.A2019019.2025.061.2019020073350.hdf
8425,ATL04_20190115200051_02810201_006_02.h5,MOD06_L2.A2019020.2110.061.2019021073741.hdf
8575,ATL04_20190117235224_03140201_006_02.h5,MOD06_L2.A2019021.2150.061.2019022073645.hdf
8980,ATL04_20190118201812_03270201_006_02.h5,MOD06_L2.A2019016.2135.061.2019017073007.hdf
8993,ATL04_20190115024341_02700201_006_02.h5,MOD06_L2.A2019017.2355.061.2019018071805.hdf
9049,ATL04_20190117015220_03000201_006_02.h5,MOD06_L2.A2019016.0010.061.2019016131743.hdf
9218,ATL04_20190118030059_03160201_006_02.h5,MOD06_L2.A2019017.0050.061.2019017132159.hdf
10403,ATL04_20190116035218_02860201_006_02.h5,MOD06_L2.A2019019.0220.061.2019019171452.hdf
10842,ATL04_20190119040939_03320201_006_02.h5,MOD06_L2.A2019019.2345.061.2019020073306.hdf
11112,ATL04_20190118043517_03170201_006_02.h5,MOD06_L2.A2019018.0315.061.2019018132950.hdf
11317,ATL04_20190117050055_03020201_006_02.h5,MOD06_L2.A2019021.2330.061.2019022073713.hdf
11949,ATL04_20190115055216_02720201_006_02.h5,MOD06_L2.A2019018.0455.061.2019018133021.hdf
11978,ATL04_20190119054357_03330201_006_02.h5,MOD06_L2.A2019016.0505.061.2019016131731.hdf
12280,ATL04_20190118060934_03180201_006_02.h5,MOD06_L2.A2019021.0525.061.2019021132802.hdf
12550,ATL04_20190121062700_03640201_006_02.h5,MOD06_L2.A2019015.0600.061.2019015192952.hdf
12663,ATL04_20190116070052_02880201_006_02.h5,MOD06_L2.A2019016.2310.061.2019017072956.hdf
12952,ATL04_20190119071814_03340201_006_02.h5,MOD06_L2.A2019016.0645.061.2019016192134.hdf
15684,ATL04_20190118091810_03200201_006_02.h5,MOD06_L2.A2019019.0855.061.2019019192902.hdf
20961,ATL04_20190117111805_03060201_006_02.h5,MOD06_L2.A2019021.1035.061.2019021195453.hdf
28054,ATL04_20190115103508_02750201_006_02.h5,MOD06_L2.A2019016.1030.061.2019016192729.hdf
29138,ATL04_20190119102649_03360201_006_02.h5,MOD06_L2.A2019017.0020.061.2019017132229.hdf
35752,ATL04_20190116114344_02910201_006_02.h5,MOD06_L2.A2019016.0555.061.2019016132843.hdf
