,filename_left,filename_right
0,ATL04_20210226052210_09811001_006_01.h5,MOD06_L2.A2021062.1655.061.2021268121609.hdf
2678,ATL04_20210301163930_10341001_006_01.h5,MOD06_L2.A2021062.0615.061.2021268120053.hdf
7378,ATL04_20210226175630_09891001_006_01.h5,MOD06_L2.A2021059.1745.061.2021268115252.hdf
8634,ATL04_20210301181348_10351001_006_01.h5,MOD06_L2.A2021063.0715.061.2021268120559.hdf
9015,ATL04_20210304183110_10811001_006_01.h5,MOD06_L2.A2021059.0740.061.2021268114210.hdf
9354,ATL04_20210226193047_09901001_006_01.h5,MOD06_L2.A2021059.1740.061.2021268114502.hdf
10544,ATL04_20210304200528_10821001_006_01.h5,MOD06_L2.A2021059.0920.061.2021268114316.hdf
11360,ATL04_20210226210504_09911001_006_01.h5,MOD06_L2.A2021060.1005.061.2021268114930.hdf
11415,ATL04_20210302205646_10521001_006_01.h5,MOD06_L2.A2021061.1725.061.2021268115839.hdf
11999,ATL04_20210228214802_10221001_006_01.h5,MOD06_L2.A2021059.1100.061.2021268114415.hdf
12188,ATL04_20210227221342_10071001_006_01.h5,MOD06_L2.A2021063.1715.061.2021268121237.hdf
12287,ATL04_20210303044813_10571001_006_01.h5,MOD06_L2.A2021062.1130.061.2021268120107.hdf
12816,ATL04_20210227045631_09961001_006_01.h5,MOD06_L2.A2021061.1230.061.2021268115947.hdf
12867,ATL04_20210304231402_10841001_006_01.h5,MOD06_L2.A2021058.1655.061.2021268113831.hdf
12984,ATL04_20210228232220_10231001_006_01.h5,MOD06_L2.A2021057.1255.061.2021268113229.hdf
13340,ATL04_20210303233941_10691001_006_01.h5,MOD06_L2.A2021060.1640.061.2021268115052.hdf
13361,ATL04_20210303000520_10541001_006_01.h5,MOD06_L2.A2021062.1630.061.2021268120241.hdf
13563,ATL04_20210301053929_10271001_006_01.h5,MOD06_L2.A2021062.1310.061.2021268120140.hdf
13759,ATL04_20210302003059_10391001_006_01.h5,MOD06_L2.A2021057.1430.061.2021268113127.hdf
13978,ATL04_20210301005637_10241001_006_01.h5,MOD06_L2.A2021062.1450.061.2021268120423.hdf
14021,ATL04_20210228043051_10111001_006_01.h5,MOD06_L2.A2021061.1545.061.2021268115654.hdf
